year,municipality,language,place of birth,concept,language skills,status,value
2023,Barcelona,Spanish,Spain,proportion of population from 15 years and over (%),can speak,,100
2023,Barcelona,Spanish,Spain,proportion of population from 15 years and over (%),can read,,98.5
2023,Barcelona,Spanish,Spain,proportion of population from 15 years and over (%),can write,,95.9
2023,Barcelona,Spanish,Spain,proportion of population from 15 years and over (%),knowledge of all skills,,95.9
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can understand,,475.9
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can speak,,470.2
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can read,,463
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),can write,,439.3
2023,Barcelona,Spanish,foreign,population aged 15 and over (thousands),knowledge of all skills,,439.3
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can understand,,98.5
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can speak,,97.4
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can read,,95.9
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),can write,,90.9
2023,Barcelona,Spanish,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,90.9
2023,Barcelona,Spanish,Unknown,population aged 15 and over (thousands),can understand,.., 
2023,Barcelona,Spanish,Unknown,population aged 15 and over (thousands),can speak,.., 
2023,Barcelona,Spanish,Unknown,population aged 15 and over (thousands),can read,.., 
2023,Barcelona,Spanish,Unknown,population aged 15 and over (thousands),can write,.., 
2023,Barcelona,Spanish,Unknown,population aged 15 and over (thousands),knowledge of all skills,.., 
2023,Barcelona,Spanish,Unknown,proportion of population from 15 years and over (%),can understand,.., 
2023,Barcelona,Spanish,Unknown,proportion of population from 15 years and over (%),can speak,.., 
2023,Barcelona,Spanish,Unknown,proportion of population from 15 years and over (%),can read,.., 
2023,Barcelona,Spanish,Unknown,proportion of population from 15 years and over (%),can write,.., 
2023,Barcelona,Spanish,Unknown,proportion of population from 15 years and over (%),knowledge of all skills,.., 
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can understand,,1454.5
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can speak,,1447.7
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can read,,1431.2
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),can write,,1382.6
2023,Barcelona,Spanish,total,population aged 15 and over (thousands),knowledge of all skills,,1382.6
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can understand,,99.5
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can speak,,99
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can read,,97.9
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),can write,,94.6
2023,Barcelona,Spanish,total,proportion of population from 15 years and over (%),knowledge of all skills,,94.6
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can understand,,371.8
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can speak,,320.4
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can read,,346.7
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),can write,,309.8
2023,Barcelona,English,Catalonia,population aged 15 and over (thousands),knowledge of all skills,,297.6
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can understand,,73.3
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can speak,,63.1
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can read,,68.3
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),can write,,61.1
2023,Barcelona,English,Catalonia,proportion of population from 15 years and over (%),knowledge of all skills,,58.7
2023,Barcelona,English,Spain,population aged 15 and over (thousands),can understand,,203.7
2023,Barcelona,English,Spain,population aged 15 and over (thousands),can speak,,173.3
2023,Barcelona,English,Spain,population aged 15 and over (thousands),can read,,193
2023,Barcelona,English,Spain,population aged 15 and over (thousands),can write,,166.9
2023,Barcelona,English,Spain,population aged 15 and over (thousands),knowledge of all skills,,156.9
2023,Barcelona,English,Spain,proportion of population from 15 years and over (%),can understand,,45
2023,Barcelona,English,Spain,proportion of population from 15 years and over (%),can speak,,38.3
2023,Barcelona,English,Spain,proportion of population from 15 years and over (%),can read,,42.7
2023,Barcelona,English,Spain,proportion of population from 15 years and over (%),can write,,36.9
2023,Barcelona,English,Spain,proportion of population from 15 years and over (%),knowledge of all skills,,34.7
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can understand,,371.8
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can speak,,344.5
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can read,,346.5
2023,Barcelona,English,foreign,population aged 15 and over (thousands),can write,,310.1
2023,Barcelona,English,foreign,population aged 15 and over (thousands),knowledge of all skills,,306.8
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can understand,,77
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can speak,,71.3
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can read,,71.7
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),can write,,64.2
2023,Barcelona,English,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,63.5
2023,Barcelona,English,Unknown,population aged 15 and over (thousands),can understand,.., 
2023,Barcelona,English,Unknown,population aged 15 and over (thousands),can speak,.., 
2023,Barcelona,English,Unknown,population aged 15 and over (thousands),can read,.., 
2023,Barcelona,English,Unknown,population aged 15 and over (thousands),can write,.., 
2023,Barcelona,English,Unknown,population aged 15 and over (thousands),knowledge of all skills,.., 
2023,Barcelona,English,Unknown,proportion of population from 15 years and over (%),can understand,.., 
2023,Barcelona,English,Unknown,proportion of population from 15 years and over (%),can speak,.., 
