year,Catalonia,territorial area of ​​stratification,habitual language,concept,status,value
2023,Catalunya,Vallès Occidental,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Occidental,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Occidental,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Occidental,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Occidental,total,population aged 15 and over (thousands),,802.8
2023,Catalunya,Vallès Oriental,Catalan,population aged 15 and over (thousands),,114.7
2023,Catalunya,Vallès Oriental,Spanish,population aged 15 and over (thousands),,189.8
2023,Catalunya,Vallès Oriental,Catalan and Spanish,population aged 15 and over (thousands),,31.8
2023,Catalunya,Vallès Oriental,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Oriental,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Oriental,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Oriental,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Oriental,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Oriental,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Oriental,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Vallès Oriental,total,population aged 15 and over (thousands),,363.5
2023,Catalunya,Maresme,Catalan,population aged 15 and over (thousands),,174.5
2023,Catalunya,Maresme,Spanish,population aged 15 and over (thousands),,151.4
2023,Catalunya,Maresme,Catalan and Spanish,population aged 15 and over (thousands),,36.9
2023,Catalunya,Maresme,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Maresme,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Maresme,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Maresme,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Maresme,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Maresme,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Maresme,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Maresme,total,population aged 15 and over (thousands),,399.9
2023,Catalunya,Comarques Gironines,Catalan,population aged 15 and over (thousands),,303.1
