Category: All categories

Month,Lotte from Gadgetville: (Worldwide),Mõmmi ja aabits: (Worldwide),Moomin: (Worldwide),Cheburashka: (Worldwide)
2023-07,<1,<1,22,2
2023-08,<1,<1,22,3
2023-09,1,1,21,3
2023-10,1,1,20,3
2023-11,1,1,24,3
2023-12,1,<1,33,4
2024-01,1,<1,36,6
2024-02,1,<1,34,6
2024-03,<1,<1,33,6
2024-04,<1,1,25,7
2024-05,0,0,24,5
2024-06,<1,0,21,5
2024-07,1,1,26,5
2024-08,1,<1,25,5
2024-09,1,<1,20,6
2024-10,<1,<1,26,6
2024-11,1,<1,23,6
2024-12,<1,<1,27,5
2025-01,0,<1,27,6
2025-02,<1,<1,22,4
